feature,mean,std
IHH,0.0,0.0
IKZF1,0.005410719758232418,0.004417834182954862
IL17RD,0.0,0.0
IL1RAP,0.0032260601691027845,0.003307269824501831
IL23R,0.0,0.0
INPP5D,0.0,0.0
IQSEC3,0.0013467042450460375,0.0016493691174014164
IRF6,0.0,0.0
IRX3,0.0,0.0
IRX5,0.0025367105230372335,0.0015137931356068118
ITGA3,0.0,0.0
KCNE3,0.0018035732527441396,0.003607146505488279
KCNJ15,0.0,0.0
KCNJ16,0.001683380306307547,0.001683380306307547
KDM1A,0.008116079637348627,0.002705359879116209
KDR,0.0,0.0
KIAA1383,0.0,0.0
KIAA1467,0.0,0.0
KIF5C,0.002356732428830566,0.0015428435354104565
KIFC1,0.0,0.0
KL,0.0015751387488950885,0.0028139197787598134
KLF5,0.009028731162833602,0.003302804238658815
KLHL14,0.002667806247032578,0.003367595248579477
KRBA1,0.0010100281837845282,0.0015428435354104565
KRT13,0.0,0.0
LASS3,-0.0004666546970694352,0.0013999640912083053
LDLRAD3,0.003378712001639228,0.003904855208534099
LEO1,0.0009017866263720698,0.0027053598791162087
LGALS4,0.0038994122916258035,0.00289949945528202
LGALS9B,0.0,0.0
LMX1B,0.0005239933811362451,0.0010479867622724902
LOC100131551,0.0006733521225230187,0.0013467042450460375
LOC100240735,0.0,0.0
LOC201651,0.0,0.0
LOC442459,0.00810517169479974,0.0040836462552330715
LPAR3,0.003607146505488279,0.004417834182954862
LRRC19,0.0,0.0
LRRC33,0.006660047344978904,0.004980683259295333
LRRK2,0.0,0.0
LSR,0.010017165359631186,0.003444817355004146
LY6G6E,0.0,0.0
LYL1,0.0,0.0
LZTS2,0.0,0.0
MAB21L2,0.0,0.0
MANBAL,0.0,0.0
MAP2K6,0.0,0.0
MARK1,0.0,0.0
MBD3,0.0,0.0
MBIP,0.0,0.0
MECOM,0.001086675446897578,0.0012301391400249462
MEIS1,0.0003099924932809195,0.0004735213551093011
MET,0.0,0.0
MFSD2B,0.0,0.0
MGP,0.0,0.0
MKLN1,0.006127395665968194,0.004397842929306679
MLANA,0.002693408490092075,0.0013467042450460377
MSLN,0.0,0.0
MSX1,0.0,0.0
MTUS1,0.0,0.0
MYB,0.0,0.0
MYLPF,0.003292021387777744,0.004629021444182442
MYO1A,0.0030300845513535845,0.0010100281837845282
MYO5A,0.002356732428830566,0.0015428435354104565
MYO7B,0.009147837619358968,0.0038879932292252267
NACA2,0.0010100281837845282,0.0015428435354104565
NAPSA,0.0003366760612615094,0.0010100281837845282
NAT15,0.002693408490092075,0.0013467042450460377
NBPF10,0.0,0.0
NCKAP1,0.0,0.0
NCLN,0.0030300845513535845,0.0010100281837845282
NDUFA4L2,0.0010100281837845282,0.0015428435354104565
NEURL2,0.006312506384604488,0.0041325054760488695
NFE2,0.0010100281837845282,0.0015428435354104565
NKX2-3,0.006616723559766146,0.004422280881737928
NLGN1,0.0,0.0
NLGN4Y,0.0018035732527441396,0.003607146505488279
NOTCH4,0.0,0.0
NOTUM,0.0,0.0
NOX1,0.0,0.0
NOXO1,0.002693408490092075,0.0013467042450460377
NPAS3,0.0013727631815189767,0.002096930396853038
NPNT,0.0006733521225230187,0.0013467042450460377
NPR1,0.0019252036381304904,0.0026387537386116117
NR1I2,0.0,0.0
NR2F2,0.0,0.0
NR3C1,0.00010333083109363983,0.00030999249328091946
NRIP2,0.0013467042450460375,0.0016493691174014164
NUPR1,0.0,0.0
NXNL2,0.002356732428830566,0.0015428435354104565
ODC1,0.0,0.0
OMG,0.007214293010976558,0.003607146505488279
OR2W3,0.0020200563675690565,0.0016493691174014164
P2RY14,0.003117818611690326,0.004044301311668994
P2RY1,0.0,0.0
PADI4,0.0,0.0
PARVA,0.003607146505488279,0.004417834182954862
PAX8,0.0022267180297563137,0.0018568465018469426
PBX1,0.0,0.0
PCDHGC3,0.0003397716193090372,0.005673630124157956
PCSK9,0.0,0.0
PDE4C,0.0,0.0
PDE6B,0.008724513987671944,0.003145965262115745
PDGFB,0.0003366760612615094,0.0010100281837845282
PERP,0.005410719758232418,0.004417834182954862
PGCP,0.0,0.0
PGR,0.0,0.0
PIK3R3,0.0,0.0
PIP5KL1,0.0,0.0
PKD2,0.002705359879116209,0.0041325054760488695
PKP2,0.0,0.0
PLA2G10,0.0,0.0
PLEKHA6,0.00411828954455693,0.0013727631815189764
PLIN2,0.0018035732527441396,0.003607146505488279
PNOC,0.00020666166218727967,0.0004133233243745593
POC1A,0.007855186247399726,0.0033014158749409645
PPAP2B,0.0,0.0
PPAP2C,0.0,0.0
PPP1R14B,0.0009017866263720698,0.0027053598791162087
PPP1R14D,0.00880696955125353,0.00513246619532686
PRAM1,0.003607146505488279,0.004417834182954862
PRAP1,0.007214293010976558,0.003607146505488279
PRKCI,0.004768740031898022,0.0037792295260156913
PRKY,0.0,0.0
PRLR,0.002476925375267158,0.0035208292318655984
PRSS3,0.006312506384604488,0.0041325054760488695
PTBP1,0.002356732428830566,0.0015428435354104565
PTGER1,0.006616723559766146,0.004422280881737928
PTGS1,0.0,0.0
PTPN1,0.0,0.0
PTTG2,0.0,0.0
PVRL1,0.0,0.0
PVRL3,0.0,0.0
PVRL4,0.002705359879116209,0.0041325054760488695
RAB17,0.0,0.0
RAB25,0.003366760612615094,0.0
RACGAP1P,0.0020200563675690565,0.0016493691174014164
RAI2,0.0,0.0
RAPH1,0.0,0.0
RASD2,0.0,0.0
RASGRP2,0.006312506384604488,0.0041325054760488695
RBMXL1,0.0034544946729518355,0.003908598246402816
RBP5,0.0,0.0
REG4,0.0,0.0
